issuerTradingSymbol,relationship,date,transaction_type,cost,shares,value,shares_total
TEAM,Officer (Chief Technology Officer),2025-03-03,Sale,284.69,3947.0,1123671.43,173258.0
TEAM,Officer (Chief Technology Officer),2025-03-03,Sale,278.3567,1085.0,302017.02,172173.0
TEAM,Officer (Chief Technology Officer),2025-03-03,Sale,283.52,200.0,56704.0,171973.0
TEAM,Officer (Chief Technology Officer),2025-03-03,Sale,277.24,200.0,55448.0,171773.0
TEAM,Officer (Chief Technology Officer),2025-03-03,Sale,280.379,2100.0,588795.9,169673.0
TEAM,Officer (Chief Technology Officer),2025-03-03,Sale,273.4937,1771.0,484357.34,167902.0
TEAM,Officer (Chief Technology Officer),2025-03-03,Sale,279.1984,1915.0,534664.94,165987.0
TEAM,Officer (Chief Technology Officer),2025-03-03,Sale,281.4995,1912.0,538227.04,164075.0
TEAM,Officer (Chief Technology Officer),2025-03-03,Sale,282.1981,790.0,222936.5,163285.0
TEAM,Officer (Chief Technology Officer),2025-03-03,Sale,276.0302,300.0,82809.06,162985.0
TEAM,Officer (Chief Technology Officer),2025-03-03,Sale,274.1221,2731.0,748627.46,160254.0
TEAM,Officer (Chief Technology Officer),2025-02-21,Sale,296.86,2198.0,652498.28,177205.0
TEAM,Officer (Chief Technology Officer),2025-02-19,Sale,311.27,1330.0,413989.1,179403.0
TEAM,Officer (Chief Technology Officer),2025-02-19,Sale,305.1589,133.0,40586.13,183745.0
TEAM,Officer (Chief Technology Officer),2025-02-19,Sale,308.77,7.0,2161.39,183738.0
TEAM,Officer (Chief Technology Officer),2025-02-19,Sale,313.7394,25.0,7843.48,183713.0
TEAM,Officer (Chief Technology Officer),2025-02-19,Sale,308.0293,488.0,150318.3,183225.0
TEAM,Officer (Chief Technology Officer),2025-02-19,Sale,310.8137,40.0,12432.55,183185.0
TEAM,Officer (Chief Technology Officer),2025-02-19,Sale,314.55,1.0,314.55,183184.0
TEAM,Officer (Chief Technology Officer),2025-02-19,Sale,303.4244,443.0,134417.01,182741.0
TEAM,Officer (Chief Technology Officer),2025-02-19,Sale,307.2562,583.0,179130.36,182158.0
TEAM,Officer (Chief Technology Officer),2025-02-19,Sale,311.6953,106.0,33039.7,182052.0
TEAM,Officer (Chief Technology Officer),2025-02-19,Sale,303.9043,1143.0,347362.61,180909.0
TEAM,Officer (Chief Technology Officer),2025-02-19,Sale,312.5164,54.0,16875.89,180855.0
