Title,Published At,URL,Sentiment,Sentiment Score
Hope springs from Evan Ferguson as Ireland defeat Bulgaria,2025-03-24T10:40:20Z,https://www.irishtimes.com/sport/2025/03/24/hope-springs-from-evan-ferguson-as-ireland-defeat-bulgaria/,Negative,-0.0258
Sports Technology Market Global Forecast to 2030: Emergence of Sports Leagues and Events with Large Prize Pools Presents Market Opportunities,2025-03-24T10:40:00Z,https://www.globenewswire.com/news-release/2025/03/24/3047673/28124/en/Sports-Technology-Market-Global-Forecast-to-2030-Emergence-of-Sports-Leagues-and-Events-with-Large-Prize-Pools-Presents-Market-Opportunities.html,Positive,0.7096
Liam Lawson Open to NASCAR Opportunity Amid Red Bull F1 Uncertainty,2025-03-24T10:39:43Z,https://www.newsweek.com/sports/racing/liam-lawson-open-nascar-opportunity-amid-red-bull-f1-uncertainty-2049460,Positive,0.1027
"DC vs LSG IPL 2025 Playing 11 Predictions: Axar Patel, KL Rahul to take on Rishabh Pant, Mitchell Marsh? Check full list",2025-03-24T10:39:42Z,https://economictimes.indiatimes.com/news/sports/dc-vs-lsg-playing-11-predictions-ipl-2025-delhi-capital-vs-luncknow-giants-dream-11-probalility-mitchell-marsh-aryan-juyal-rishabh-pant-jake-fraser-mcgurk-faf-du-plessis-abhishek-porel-kl-rahul-axar-patel/articleshow/119421280.cms,Positive,0.2023
Montage Gold Achieves Key Construction Milestone at Its Koné Project as Process Plant Concrete Works Commenced,2025-03-24T10:39:04Z,https://financialpost.com/globe-newswire/montage-gold-achieves-key-construction-milestone-at-its-kone-project-as-process-plant-concrete-works-commenced,Neutral,0.0
Success for Sky Sports at SJA awards,2025-03-24T10:39:00Z,https://www.skysports.com/football/news/11095/13334903/success-for-sky-sports-at-sja-british-sports-journalism-awards-2024,Positive,0.7717
VMO2 scores with 5G O-RAN to improve sports mobile experience,2025-03-24T10:39:00Z,https://www.computerweekly.com/news/366621273/VMO2-scores-with-5G-O-RAN-to-improve-sports-mobile-experience,Positive,0.4404
"New Android, iPhone Warning—Do Not Make This 1 Change Hackers Love",2025-03-24T10:37:46Z,https://www.forbes.com/sites/daveywinder/2025/03/24/new-android-iphone-warning-do-not-make-this-1-change-hackers-love/,Positive,0.6369
Are the Patriots cheap? The evidence says no,2025-03-24T10:37:45Z,https://www.nbcsportsboston.com/nfl/new-england-patriots/free-agents-spending-cash-salary-cap/697855/,Negative,-0.296
President Trump says he’ll host Kansas City Chiefs at White House to celebrate 2020 Super Bowl victory | CNN,2025-03-24T10:37:28Z,https://www.cnn.com/2025/03/24/sport/chiefs-super-bowl-liv-white-house-president-trump-spt-intl/index.html,Positive,0.8225
Baltimore Orioles Double-A Affiliate Release New Logo That Goes Viral For Resembling The Female Reproductive Organ,2025-03-24T10:36:37Z,https://brobible.com/sports/article/chesapeake-baysox-logo-oyster-catchers-reactions/,Neutral,0.0
Montage Gold Achieves Key Construction Milestone at Its Koné Project as Process Plant Concrete Works Commenced,2025-03-24T10:35:00Z,https://www.globenewswire.com/news-release/2025/03/24/3047671/0/en/Montage-Gold-Achieves-Key-Construction-Milestone-at-Its-Kon%C3%A9-Project-as-Process-Plant-Concrete-Works-Commenced.html,Neutral,0.0
Gasperini ‘flattered’ by Roma’s interest in him,2025-03-24T10:35:00Z,https://romapress.net/gasperini-flattered-by-romas-interest-in-him/,Positive,0.4588
Nvidia may finally let gamers buy some GPUs at a reasonable price,2025-03-24T10:32:05Z,https://www.digitaltrends.com/computing/rtx-5060-5060ti-msrp-launch-date/,Neutral,0.0
Timi Dakolo Calls Out Pastor Femi Lazarus for Allegedly Charging $150 for His Ministry School,2025-03-24T10:31:26Z,https://www.legit.ng/entertainment/celebrities/1646734-timi-dakolo-calls-pastor-femi-lazarus-allegedly-charging-150-ministry-school/,Neutral,0.0
"Protective Packaging Market to Reach USD 47.6 Billion by 2035: Driven by E-Commerce and Global Trade Growth | Future Market Insights, Inc.",2025-03-24T10:30:00Z,https://www.globenewswire.com/news-release/2025/03/24/3047666/0/en/Protective-Packaging-Market-to-Reach-USD-47-6-Billion-by-2035-Driven-by-E-Commerce-and-Global-Trade-Growth-Future-Market-Insights-Inc.html,Positive,0.4019
"Perfume Ingredient Chemicals Market is Expected to Reach USD 13,170 Million, Growing at a CAGR of 5.3% by 2035 | States Fact.MR",2025-03-24T10:30:00Z,https://www.globenewswire.com/news-release/2025/03/24/3047669/0/en/Perfume-Ingredient-Chemicals-Market-is-Expected-to-Reach-USD-13-170-Million-Growing-at-a-CAGR-of-5-3-by-2035-States-Fact-MR.html,Positive,0.2023
"Kim Mulkey, LSU women bracing for new challenge in second round of March Madness",2025-03-24T10:30:00Z,https://www.theadvocate.com/baton_rouge/sports/lsu/lsu-womens-basketball-ncaa-tournament-florida-state/article_476d3e1b-b3a7-5f2e-b42a-f2a8ece74d33.html,Negative,-0.3818
Report – Napoli Could Rekindle Interest In Roma Linked Inter Milan Midfielder This Summer,2025-03-24T10:29:00Z,https://sempreinter.com/2025/03/24/napoli-could-rekindle-interest-inter-milan-midfielder-davide-frattesi/,Positive,0.4588
"Apple Watch SE Refresh Could Feature An All-Plastic Chassis, But The Team Behind Its Design Is Not Pleased About Its Appearance Due To The Use Of Low-Cost Materials",2025-03-24T10:28:59Z,https://wccftech.com/apple-watch-se-newer-version-may-feature-a-plastic-body-but-team-is-not-pleased/,Negative,-0.4782
USMNT admit they need to 'play in different way' as Concacaf Nations League losses inspire World Cup concerns,2025-03-24T10:28:33Z,https://www.cbssports.com/soccer/news/usmnt-admit-they-need-to-play-in-different-way-as-concacaf-nations-league-losses-inspire-world-cup-concerns/,Positive,0.6369
"Customs evasion goods worth Rs 1.95 lakh, including 16 motorcycles, seized in Kanchanpur",2025-03-24T10:28:23Z,https://dineshkhabar.com/article/119806,Positive,0.2263
Yankees' Aaron Boone shares sorrow over death of Brett Gardner's teen son: 'Very tough news',2025-03-24T10:27:28Z,https://www.foxnews.com/sports/yankees-aaron-boone-shares-sorrow-over-death-brett-gardners-teen-son-very-tough-news,Negative,-0.7841
Check out new open-source 3D character generator CharMorph,2025-03-24T10:27:24Z,https://www.cgchannel.com/2025/03/check-out-new-open-source-3d-character-generator-charmorph/,Neutral,0.0
Two drivers arrested with stolen tractors in Kanchanpur,2025-03-24T10:25:17Z,https://dineshkhabar.com/article/119804,Negative,-0.743
HB&O enhance transaction tax and inheritance tax services,2025-03-24T10:24:12Z,https://biztoc.com/x/aa473960da6706d0,Neutral,0.0
Real Madrid have faced an unforgiving schedule in 2025 with 22 matches in 71 days,2025-03-24T10:24:00Z,https://madriduniversal.com/real-madrid-have-faced-an-unforgiving-schedule-in-2025-with-22-matches-in-71-days/,Neutral,0.0
"Post-free agency NFL Power Rankings: How all 32 teams stack up, plus under-the-radar moves",2025-03-24T10:21:46Z,https://www.espn.com/nfl/story/_/id/44329752/nfl-power-rankings-offseason-post-free-agency-poll-2025-radar-move,Neutral,0.0
Trump Unleashes on NYT’s ‘Sycophant’ Peter Baker for ‘Boring Fake News Hit Pieces’,2025-03-24T10:21:34Z,https://www.mediaite.com/news/trump-unleashes-on-nyts-sycophant-peter-baker-for-boring-fake-news-hit-pieces/,Negative,-0.4767
Show HN: We made an MCP Server so that Cursor can build anything from API Docs,2025-03-24T10:21:02Z,https://www.npmjs.com/package/apidog-mcp-server,Neutral,0.0
Which players from Wisconsin basketball’s 2024-25 roster are departing this spring?,2025-03-24T10:20:25Z,https://badgerswire.usatoday.com/story/sports/college/badgers/mens-basketball/2025/03/24/wisconsin-basketball-roster-2024-25-seniors/82626865007/,Neutral,0.0
NHL playoff watch: Can the Canucks get back on track?,2025-03-24T10:20:06Z,https://www.espn.com/nhl/story/_/id/44375360/nhl-playoffs-bracket-standings-2025-wild-card-bracket-games-matchups,Neutral,0.0
'Pochettino's US compensation means imminent Spurs return unlikely',2025-03-24T10:20:06Z,https://www.bbc.com/sport/football/articles/c70eddpe5xko,Neutral,0.0
Pulisic confesses USA National Team is ‘everything’ to him after Canada loss,2025-03-24T10:20:00Z,https://sempremilan.com/pulisic-confesses-usa-everything-to-him-canada-loss,Negative,-0.3182
Aaron Rodgers considered a safe bet to replace 10-time Pro Bowl quarterback,2025-03-24T10:18:15Z,https://www.marca.com/en/nfl/new-york-jets/2025/03/24/67e12ff5e2704e27a28b4574.html,Positive,0.4404
Jim Siders’ Journey From Symphony To Palantir’s CIO,2025-03-24T10:18:00Z,https://www.forbes.com/sites/peterhigh/2025/03/24/jim-siders-journey-from-symphony-to-palantirs-cio/,Neutral,0.0
"Medical Imaging Reagents Market to Reach US$ 32.4 Bn by 2035, Driven by Innovations in Precision Imaging and Diagnostic Advancements | Transparency Market Research",2025-03-24T10:18:00Z,https://www.globenewswire.com/news-release/2025/03/24/3047663/32656/en/Medical-Imaging-Reagents-Market-to-Reach-US-32-4-Bn-by-2035-Driven-by-Innovations-in-Precision-Imaging-and-Diagnostic-Advancements-Transparency-Market-Research.html,Positive,0.0258
When are patients willing to wait to see their own PCP?,2025-03-24T10:16:00Z,https://www.techtarget.com/patientengagement/news/366621173/When-are-patients-willing-to-wait-to-see-their-own-PCP,Neutral,0.0
The Maw: what's new in PC games this week?,2025-03-24T10:14:37Z,https://www.rockpapershotgun.com/the-maw-whats-new-in-pc-games-this-week-36,Neutral,0.0
Fireball's Senior Discount Is Straight Fire: Win Free Whisky For Life If You're 90+,2025-03-24T10:14:12Z,https://dailyvoice.com/ct/hartford/fireball-giving-free-cinnamon-whisky-to-fans-90-and-older/,Positive,0.765
Singaporean tourist injured in fall on Mount Kinabalu,2025-03-24T10:14:00Z,https://www.thestar.com.my/news/nation/2025/03/24/singaporean-tourist-injured-in-fall-on-mount-kinabalu,Negative,-0.4019
Newlywed ‘stressed’ by visa problem before bashing Jetstar worker at Perth Airport,2025-03-24T10:13:54Z,https://7news.com.au/news/newlywed-stressed-by-visa-problem-before-bashing-jetstar-worker-at-perth-airport-c-18143015,Negative,-0.4019
Banking Circle subsidiary BC Payments secures in principle approval from MAS for payments licence,2025-03-24T10:10:00Z,https://www.finextra.com/pressarticle/104902/banking-circle-subsidiary-bc-payments-secures-in-principle-approval-from-mas-for-payments-licence,Positive,0.6597
"Men's March Madness winners, losers as NCAA Tournament reaches Sweet 16",2025-03-24T10:09:24Z,https://www.usatoday.com/story/sports/ncaab/2025/03/24/march-madness-winners-losers-ncaa-tournament-sweet-16/82630396007/,Neutral,0.0
Barcelona midfielder acknowledges fatigue but vows to fight for La Liga glory – ‘We are tired but…’,2025-03-24T10:09:00Z,https://barcauniversal.com/barcelona-midfielder-acknowledges-fatigue-but-vows-to-fight-for-la-liga-glory-we-are-tired-but/,Negative,-0.4588
"There’s No Escaping the Past in Lionsgate’s Espionage Thriller ‘The German’ Starring Oliver Masucci: ‘You Can Hide It and Lie About It, But It Will Always Haunt You’",2025-03-24T10:08:18Z,https://variety.com/2025/tv/global/lionsgate-oliver-masucci-the-german-1236346194/,Negative,-0.6369
Report: Ruben Amorim wants to sign UEFA Nations League hero to solve attacking issues,2025-03-24T10:08:00Z,https://www.caughtoffside.com/2025/03/24/amorim-nations-league-hero-man-united/,Positive,0.34
The Drum to report from Shoptalk 2025 as retail media stakes rise,2025-03-24T10:07:00Z,https://www.thedrum.com/news/2025/03/24/the-drum-report-shoptalk-2025-retail-media-stakes-rise,Neutral,0.0
Saudi Banks Set to Sell Bad Loans Ahead of Boom in Giga Projects,2025-03-24T10:06:50Z,https://www.livemint.com/companies/news/saudi-banks-set-to-sell-bad-loans-ahead-of-boom-in-giga-projects-11742810811082.html,Negative,-0.5423
Why New Boss Igor Tudor Could Be The Next Antonio Conte For Juventus,2025-03-24T10:06:46Z,https://www.forbes.com/sites/adamdigby/2025/03/24/why-new-boss-igor-tudor-could-be-the-next-antonio-conte-for-juventus/,Neutral,0.0
"The Apple Watch SE 3 is apparently in 'serious jeopardy', and the news isn't much better for the Ultra 3 or Series 11",2025-03-24T10:06:45Z,https://www.techradar.com/health-fitness/smartwatches/the-apple-watch-se-3-is-apparently-in-serious-jeopardy-and-the-news-isnt-much-better-for-the-ultra-3-or-series-11,Negative,-0.4031
Digest: Channel 4 Launches Emissions Measurement Tool; Bluesky Enhances Referral Tracking for Publishers,2025-03-24T10:05:46Z,https://www.exchangewire.com/blog/2025/03/24/digest-channel-4-launches-emissions-measurement-tool-bluesky-enhances-referral-tracking-for-publishers/,Neutral,0.0
Every MLB team's most pivotal player for 2025: Who needs to step up?,2025-03-24T10:05:33Z,https://www.usatoday.com/story/sports/mlb/2025/03/24/mlb-2025-predictions-most-pivotal-players-teams/82548516007/,Neutral,0.0
Wanbury to launch new iron supplement and Ketamine API,2025-03-24T10:05:30Z,https://www.thehindubusinessline.com/markets/stock-markets/wanbury-to-launch-new-iron-supplement-and-ketamine-api/article69368059.ece,Neutral,0.0
The psychology of managing difficult customers in your spa,2025-03-24T10:05:13Z,https://www.hospitalitynet.org/news/4126373.html,Negative,-0.3612
"Son of Kerala auto driver, Vignesh Puthur, takes IPL 2025 by storm. MS Dhoni's special gesture wins hearts",2025-03-24T10:05:11Z,https://economictimes.indiatimes.com/magazines/panache/son-of-kerala-auto-driver-vignesh-puthur-takes-ipl-2025-by-storm-ms-dhonis-special-gesture-wins-hearts/articleshow/119419755.cms,Positive,0.7506
Merlin Receives TSO Authorization For Remote Data Concentrator,2025-03-24T10:05:00Z,https://www.aero-news.net/index.cfm?do=main.textpost&id=5B7B5F76-2453-4365-A640-60D7830E5D44,Neutral,0.0
"Classic Aero-TV: Granley Family Airshows - Bud Granley, Creating a Legacy",2025-03-24T10:05:00Z,https://www.aero-news.net/index.cfm?do=main.textpost&id=4CCED2DB-BDBC-48A9-BC8C-E52EE6CB5FB9,Positive,0.296
Electra Advances Financing for North America’s Only Cobalt Sulfate Refinery,2025-03-24T10:03:35Z,https://financialpost.com/globe-newswire/electra-advances-financing-for-north-americas-only-cobalt-sulfate-refinery,Neutral,0.0
