issuerTradingSymbol,relationship,date,transaction_type,cost,shares,value,shares_total
TEM,Director,2025-03-17,Sale,46.69,1650,77038.5,36864
TEM,Director,2025-03-17,Sale,47.99,2059,98811.41,34805
TEM,Director,2025-03-17,Sale,48.79,1100,53669.0,33705
TEM,Director,2025-03-17,Sale,49.99,3188,159368.12,30517
TEM,Director,2025-03-17,Sale,50.62,1003,50771.86,29514
WDAY,,2025-01-02,Sale,251,500,125500.0,8174
WDAY,,2025-01-02,Sale,252.103,629,158572.79,7545
WDAY,,2025-01-02,Sale,253.12,200,50624.0,7345
WDAY,,2025-01-02,Sale,254.63,100,25463.0,7245
WDAY,,2025-01-02,Sale,256.225,200,51245.0,7045
WDAY,,2025-01-02,Sale,257.495,200,51499.0,6845
WDAY,,2024-10-11,Sale,241.279,1028,248034.81,9474
WDAY,,2024-10-11,Sale,242.1483,600,145288.98,8874
WDAY,,2024-10-11,Sale,243.91,200,48782.0,8674
WDAY,,2024-06-18,"Grant, Award, or Other Acquisition",0,1555,0.0,10502
TEM,Director,2024-06-13,"Grant, Award, or Other Acquisition",0,38514,0.0,38514
PODD,,2024-05-22,"Grant, Award, or Other Acquisition",0,1380,0.0,5056
WDAY,,2023-10-05,"Grant, Award, or Other Acquisition",0,107,0.0,8947
WDAY,,2023-06-22,"Grant, Award, or Other Acquisition",0,1515,0.0,8840
PODD,,2023-05-23,"Grant, Award, or Other Acquisition",0,843,0.0,3676
FMTX,,2022-10-14,Tender Offer,,7250,,0
WDAY,,2022-07-15,"Grant, Award, or Other Acquisition",0,5248,0.0,7325
WDAY,,2022-06-22,"Grant, Award, or Other Acquisition",0,2077,0.0,2077
FMTX,,2022-06-08,"Grant, Award, or Other Acquisition",0.00,4500,0.0,7250
PODD,,2022-05-24,"Grant, Award, or Other Acquisition",0,1009,0.0,2833
FMTX,,2021-06-17,"Grant, Award, or Other Acquisition",0.00,2750,0.0,2750
PODD,,2021-05-27,"Grant, Award, or Other Acquisition",0,808,0.0,1824
HUM,,2021-02-19,Exercise or Conversion of Derivative Security,0,440,0.0,440
PODD,,2020-10-20,"Grant, Award, or Other Acquisition",0,1016,0.0,1016
