issuerTradingSymbol,relationship,date,transaction_type,cost,shares,value,shares_total
TEM,Officer (Chief Operating Officer),2025-03-04,Sale,47.48,1200,56976.0,943260
TEM,Officer (Chief Operating Officer),2025-03-04,Sale,48.55,3435,166769.25,939825
TEM,Officer (Chief Operating Officer),2025-03-04,Sale,49.50,2699,133600.5,937126
TEM,Officer (Chief Operating Officer),2025-03-04,Sale,50.38,857,43175.66,936269
TEM,Officer (Chief Operating Officer),2025-03-04,Sale,51.69,1750,90457.5,934519
TEM,Officer (Chief Operating Officer),2025-03-04,Sale,52.66,7517,395845.22,927002
TEM,Officer (Chief Operating Officer),2025-03-04,Sale,53.56,2542,136149.52,924460
TEM,Officer (Chief Operating Officer),2025-02-19,Sale,81.83,2631,215294.73,944697
TEM,Officer (Chief Operating Officer),2025-02-19,Sale,82.36,237,19519.32,944460
TEM,Officer (Chief Operating Officer),2025-02-04,Sale,61.48,2607,160278.36,979835
TEM,Officer (Chief Operating Officer),2025-02-04,Sale,62.36,13718,855454.48,966117
TEM,Officer (Chief Operating Officer),2025-02-04,Sale,63.24,2000,126480.0,964117
TEM,Officer (Chief Operating Officer),2025-02-04,Sale,64.37,1675,107819.75,962442
TEM,Officer (Chief Operating Officer),2025-02-05,Sale,67.57,15114,1021252.98,947328
TEM,Officer (Chief Operating Officer),2025-01-07,Sale,38.98,5912,230449.76,996530
TEM,Officer (Chief Operating Officer),2025-01-07,Sale,39.77,12688,504601.76,983842
TEM,Officer (Chief Operating Officer),2025-01-07,Sale,40.70,1200,48840.0,982642
TEM,Officer (Chief Operating Officer),2025-01-07,Sale,41.50,200,8300.0,982442
TEM,Officer (Chief Operating Officer),2025-01-02,Sale,34.66,1265,43844.9,1002442
TEM,Officer (Chief Operating Officer),2024-12-16,Sale,40.23,3500,140805.0,1003707
TEM,Officer (Chief Operating Officer),2024-12-11,Sale,40.86,10976,448479.36,1116231
TEM,Officer (Chief Operating Officer),2024-12-11,Sale,41.70,32026,1335484.2,1084205
TEM,Officer (Chief Operating Officer),2024-12-11,Sale,42.95,60279,2588983.05,1023926
TEM,Officer (Chief Operating Officer),2024-12-11,Sale,43.59,16719,728781.21,1007207
TEM,Officer (Chief Operating Officer),2024-08-01,"Grant, Award, or Other Acquisition",0,100000,0.0,1277207
TEM,Officer (Chief Operating Officer),2024-06-13,"Grant, Award, or Other Acquisition",0,639500,0.0,639500
TEM,Officer (Chief Operating Officer),2024-06-14,Tax Withholding (RSU Vesting),37,187957,6954409.0,451543
TEM,Officer (Chief Operating Officer),2024-06-17,Conversion of Security,,725664,,0
TEM,Officer (Chief Operating Officer),2024-06-17,Conversion of Security,,725664,,1177207
TEM,Officer (Chief Operating Officer),2024-06-17,Conversion of Security,,131893,,0
TEM,Officer (Chief Operating Officer),2024-06-17,Conversion of Security,,131893,,131893
