issuerTradingSymbol,relationship,date,transaction_type,cost,shares,value,shares_total
TEM,Director,2025-03-17,Sale,46.59,4612,214873.08,83902
TEM,Director,2025-03-17,Sale,47.53,3077,146249.81,80825
TEM,Director,2025-03-17,Sale,48.44,6349,307545.56,74476
TEM,Director,2025-03-17,Sale,49.72,6698,333024.56,67778
TEM,Director,2025-03-17,Sale,50.45,7102,358295.9,60676
PFE,,2024-10-30,Purchase,28.2400,1000.0000,28240.0,10000.0000
TEM,Director,2024-06-13,"Grant, Award, or Other Acquisition",0,88514,0.0,88514
ILMN,,2024-05-16,"Grant, Award, or Other Acquisition",0,2622,0.0,8190
ILMN,,2023-12-29,"Grant, Award, or Other Acquisition",113.4799,220,24965.58,5568
PFE,,2023-12-15,Purchase,26.4670,3000.0000,79401.0,9000.0000
ILMN,,2023-09-29,"Grant, Award, or Other Acquisition",166.7427,142,23677.46,5348
ILMN,,2023-06-30,"Grant, Award, or Other Acquisition",205.7858,103,21195.94,5206
ILMN,,2023-05-26,"Grant, Award, or Other Acquisition",0,1532,0.0,5103
PFE,,2023-05-05,Purchase,38.4250,1000.0000,38425.0,5000.0000
PFE,,2023-05-08,Purchase,38.5800,1000.0000,38580.0,6000.0000
ILMN,,2023-03-31,"Grant, Award, or Other Acquisition",210.4738,100,21047.38,3571
ILMN,,2022-05-26,"Grant, Award, or Other Acquisition",0,1232,0.0,3471
ILMN,,2021-05-26,"Grant, Award, or Other Acquisition",0,881,0.0,2239
ILMN,,2020-05-27,"Grant, Award, or Other Acquisition",0,963,0.0,1358
ILMN,,2020-02-04,"Grant, Award, or Other Acquisition",0,395,0.0,395
PFE,,2020-01-30,Purchase,36.9966,1000.0000,36996.6,4000.0000
PFE,,2019-08-23,Purchase,34.7200,3000.0000,104160.0,3000.0000
CBMX,,2016-05-09,Purchase,3.0348,4000,12139.2,4804
CBMX,,2015-01-09,"Grant, Award, or Other Acquisition",0,12528,0.0,30223
CBMX,,2014-02-20,"Grant, Award, or Other Acquisition",0,17495,0.0,17695
TRGM,,2013-07-22,"Grant, Award, or Other Acquisition",0,25000,0.0,25000
MIPI,,2009-05-29,Purchase,3.83,4000,15320.0,4000
CBMX,,2009-05-28,Purchase,7.4999,2000,14999.8,2000
