issuerTradingSymbol,relationship,date,transaction_type,cost,shares,value,shares_total
TEM,,2025-01-15,Sale,35.4219,161811,5731653.06,16002638
TEM,,2025-01-15,Sale,36.0439,8909,321115.11,15993729
TEM,,2025-01-16,Sale,34.8222,500364,17423775.28,15493365
TEM,,2025-01-16,Sale,35.8000,10000,358000.0,15483365
TEM,,2025-01-17,Sale,35.1021,264852,9296861.39,15218513
TEM,,2025-01-17,Sale,35.7944,148,5297.57,15218365
TEM,,2025-01-15,Sale,35.4219,161811,5731653.06,16002638
TEM,,2025-01-15,Sale,36.0439,8909,321115.11,15993729
TEM,,2025-01-16,Sale,34.8222,500364,17423775.28,15493365
TEM,,2025-01-16,Sale,35.8000,10000,358000.0,15483365
TEM,,2025-01-17,Sale,35.1021,264852,9296861.39,15218513
TEM,,2025-01-17,Sale,35.7944,148,5297.57,15218365
TEM,,2024-12-11,Sale,42.4899,130016,5524366.84,16430233
TEM,,2024-12-11,Sale,43.1683,265784,11473443.45,16164449
TEM,,2024-06-17,Conversion of Security,,2169419,,16560249
TKO,Director,2024-06-12,Exercise or Conversion of Derivative Security,0,1188,0.0,1188
EQR,,2021-06-02,Exercise or Conversion of Derivative Security,50.19,5815,291854.85,22925
EQR,,2021-06-02,Sale,79.82,3658,291981.56,19267
EQR,,2021-03-22,Exercise or Conversion of Derivative Security,47.36,963,45607.68,17110
EQR,,2020-08-14,"Grant, Award, or Other Acquisition",46.23,2163,99995.49,16147
EQR,,2020-06-25,"Grant, Award, or Other Acquisition",0.00,2739,0.0,16100
EQR,,2019-06-27,"Grant, Award, or Other Acquisition",0,2116,0.0,13361
EQR,,2018-06-14,"Grant, Award, or Other Acquisition",0,2509,0.0,15746
EQR,,2017-06-15,"Grant, Award, or Other Acquisition",0,1992,0.0,15274
GRPN,,2017-06-13,"Grant, Award, or Other Acquisition",0,48701,0.0,162736
EQR,,2017-02-28,"Grant, Award, or Other Acquisition",52.79,1894,99984.26,13282
ECHO,,2017-02-24,"Grant, Award, or Other Acquisition",0,4396,0.0,22634
GRPN,,2016-10-31,Conversion of Security,0,400008,0.0,30725038
EQR,,2016-06-16,"Grant, Award, or Other Acquisition",0,2037,0.0,12649
GRPN,,2016-06-08,"Grant, Award, or Other Acquisition",0,43103,0.0,114035
ECHO,,2016-02-26,"Grant, Award, or Other Acquisition",0,3939,0.0,18238
GRPN,,2015-07-07,Sale,4.8200,250000.0000,1205000.0,30575030.0000
GRPN,,2015-07-08,Sale,4.8400,250000.0000,1210000.0,30325030.0000
EQR,,2015-06-24,"Grant, Award, or Other Acquisition",0,1261,0.0,10612.2161
GRPN,,2015-06-23,Sale,5.3500,250000.0000,1337500.0,31075030.0000
GRPN,,2015-06-24,Sale,5.3600,250000.0000,1340000.0,30825030.0000
GRPN,,2015-06-18,"Grant, Award, or Other Acquisition",0.0000,28889.0000,0.0,70932.0000
GRPN,,2015-05-13,Sale,6.7500,250000.0000,1687500.0,31575030.0000
GRPN,,2015-05-14,Sale,6.6100,250000.0000,1652500.0,31325030.0000
GRPN,,2015-04-21,Sale,7.1500,250000.0000,1787500.0,32075030.0000
GRPN,,2015-04-22,Sale,7.0800,250000.0000,1770000.0,31825030.0000
ECHO,,2015-03-18,Sale,27.2456,17500,476798.0,552501
ECHO,,2015-03-19,Sale,27.1028,17500,474299.0,535001
GRPN,,2015-03-04,Sale,7.9300,250000.0000,1982500.0,32575030.0000
GRPN,,2015-03-05,Sale,7.9200,250000.0000,1980000.0,32325030.0000
EQR,,2015-03-02,"Grant, Award, or Other Acquisition",63.91,1564.7004,100000.0,10820.2161
