issuerTradingSymbol,relationship,date,transaction_type,cost,shares,value,shares_total
TEM,"Director, Officer (CEO and Chairman), 10% Owner",2025-03-05,Sale,50.25,18685,938921.25,9538598
TEM,"Director, Officer (CEO and Chairman), 10% Owner",2025-03-05,Sale,51.09,33030,1687502.7,9505568
TEM,"Director, Officer (CEO and Chairman), 10% Owner",2025-03-05,Sale,52.18,12334,643588.12,9493234
TEM,"Director, Officer (CEO and Chairman), 10% Owner",2025-03-05,Sale,52.96,35951,1903964.96,9457283
TEM,"Director, Officer (CEO and Chairman), 10% Owner",2025-03-05,Sale,50.17,167975,8427305.75,26321502
TEM,"Director, Officer (CEO and Chairman), 10% Owner",2025-03-05,Sale,50.96,255738,13032408.48,26065764
TEM,"Director, Officer (CEO and Chairman), 10% Owner",2025-03-05,Sale,51.66,27132,1401639.12,26038632
TEM,"Director, Officer (CEO and Chairman), 10% Owner",2025-03-05,Sale,52.73,11500,606395.0,26027132
TEM,"Director, Officer (CEO and Chairman), 10% Owner",2025-03-06,Sale,48.85,19202,938017.7,9438081
TEM,"Director, Officer (CEO and Chairman), 10% Owner",2025-03-06,Sale,49.53,17134,848647.02,9420947
TEM,"Director, Officer (CEO and Chairman), 10% Owner",2025-03-06,Sale,50.60,6469,327331.4,9414478
TEM,"Director, Officer (CEO and Chairman), 10% Owner",2025-03-06,Sale,51.61,7195,371333.95,9407283
TEM,"Director, Officer (CEO and Chairman), 10% Owner",2025-03-06,Sale,49.11,94401,4636033.11,25932731
TEM,"Director, Officer (CEO and Chairman), 10% Owner",2025-03-06,Sale,50.11,56439,2828158.29,25876292
TEM,"Director, Officer (CEO and Chairman), 10% Owner",2025-03-06,Sale,50.99,47301,2411877.99,25828991
TEM,"Director, Officer (CEO and Chairman), 10% Owner",2025-03-06,Sale,51.67,1859,96054.53,25827132
TEM,"Director, Officer (CEO and Chairman), 10% Owner",2025-02-27,Other Acquisition or Disposition (See Footnotes),0,3372045,0.0,1580928
TEM,"Director, Officer (CEO and Chairman), 10% Owner",2025-02-27,Sale,58.75,1580928,92879520.0,0
TEM,"Director, Officer (CEO and Chairman), 10% Owner",2025-02-27,Other Acquisition or Disposition (See Footnotes),0,132880,0.0,115751
TEM,"Director, Officer (CEO and Chairman), 10% Owner",2025-02-27,Sale,58.75,115751,6800371.25,0
TEM,"Director, Officer (CEO and Chairman), 10% Owner",2025-02-27,Sale,58.75,145966,8575502.5,0
TEM,"Director, Officer (CEO and Chairman), 10% Owner",2025-02-27,Sale,58.75,1397589,82108353.75,0
TEM,"Director, Officer (CEO and Chairman), 10% Owner",2025-02-27,Gift,0,100000,0.0,26489477
TEM,"Director, Officer (CEO and Chairman), 10% Owner",2025-02-19,Sale,79.65,30285,2412200.25,5019175
TEM,"Director, Officer (CEO and Chairman), 10% Owner",2025-02-19,Sale,80.63,19409,1564947.67,4999766
TEM,"Director, Officer (CEO and Chairman), 10% Owner",2025-02-19,Sale,81.59,16437,1341094.83,4983329
TEM,"Director, Officer (CEO and Chairman), 10% Owner",2025-02-19,Sale,82.47,18509,1526437.23,4964820
TEM,"Director, Officer (CEO and Chairman), 10% Owner",2025-02-19,Other Acquisition or Disposition (See Footnotes),0,112,0.0,187
TEM,"Director, Officer (CEO and Chairman), 10% Owner",2025-02-20,Sale,74.09,69231,5129324.79,4895589
TEM,"Director, Officer (CEO and Chairman), 10% Owner",2025-02-12,Sale,70.02,84948,5948058.96,5208057
TEM,"Director, Officer (CEO and Chairman), 10% Owner",2025-02-13,Sale,76.43,14201,1085382.43,5193856
TEM,"Director, Officer (CEO and Chairman), 10% Owner",2025-02-13,Sale,77.68,11165,867297.2,5182691
TEM,"Director, Officer (CEO and Chairman), 10% Owner",2025-02-13,Sale,78.51,24896,1954584.96,5157795
TEM,"Director, Officer (CEO and Chairman), 10% Owner",2025-02-13,Sale,79.81,23332,1862126.92,5134463
TEM,"Director, Officer (CEO and Chairman), 10% Owner",2025-02-13,Sale,80.28,5000,401400.0,5129463
TEM,"Director, Officer (CEO and Chairman), 10% Owner",2025-02-14,Sale,84.70,33914,2872515.8,5095549
TEM,"Director, Officer (CEO and Chairman), 10% Owner",2025-02-14,Sale,85.58,11589,991786.62,5083960
TEM,"Director, Officer (CEO and Chairman), 10% Owner",2025-02-14,Sale,86.87,32200,2797214.0,5051760
TEM,"Director, Officer (CEO and Chairman), 10% Owner",2025-02-14,Sale,87.37,2300,200951.0,5049460
TEM,"Director, Officer (CEO and Chairman), 10% Owner",2025-02-05,Sale,67.32,41701,2807311.32,5491286
TEM,"Director, Officer (CEO and Chairman), 10% Owner",2025-02-05,Sale,67.80,32784,2222755.2,5458502
TEM,"Director, Officer (CEO and Chairman), 10% Owner",2025-02-06,Sale,67.76,68268,4625839.68,5390234
TEM,"Director, Officer (CEO and Chairman), 10% Owner",2025-02-06,Sale,68.41,16641,1138410.81,5373593
TEM,"Director, Officer (CEO and Chairman), 10% Owner",2025-02-06,Sale,69.32,200,13864.0,5373393
TEM,"Director, Officer (CEO and Chairman), 10% Owner",2025-02-07,Sale,67.01,32205,2158057.05,5341188
TEM,"Director, Officer (CEO and Chairman), 10% Owner",2025-02-07,Sale,67.70,39747,2690871.9,5301441
TEM,"Director, Officer (CEO and Chairman), 10% Owner",2025-02-07,Sale,68.69,8436,579468.84,5293005
TEM,"Director, Officer (CEO and Chairman), 10% Owner",2025-01-29,Sale,53.77,68897,3704591.69,5702890
TEM,"Director, Officer (CEO and Chairman), 10% Owner",2025-01-29,Sale,54.45,10221,556533.45,5692669
TEM,"Director, Officer (CEO and Chairman), 10% Owner",2025-01-30,Sale,54.63,77626,4240708.38,5615043
TEM,"Director, Officer (CEO and Chairman), 10% Owner",2025-01-31,Sale,57.94,57538,3333751.72,5557505
TEM,"Director, Officer (CEO and Chairman), 10% Owner",2025-01-31,Sale,58.84,24118,1419103.12,5533387
TEM,"Director, Officer (CEO and Chairman), 10% Owner",2025-01-31,Sale,59.86,400,23944.0,5532987
TEM,"Director, Officer (CEO and Chairman), 10% Owner",2025-01-22,Sale,47.78,30609,1462498.02,6948243
TEM,"Director, Officer (CEO and Chairman), 10% Owner",2025-01-22,Sale,49.06,101967,5002501.02,6846276
TEM,"Director, Officer (CEO and Chairman), 10% Owner",2025-01-22,Sale,49.84,238699,11896758.16,6607577
TEM,"Director, Officer (CEO and Chairman), 10% Owner",2025-01-22,Sale,50.70,60587,3071760.9,6546990
TEM,"Director, Officer (CEO and Chairman), 10% Owner",2025-01-22,Sale,51.82,41747,2163329.54,6505243
TEM,"Director, Officer (CEO and Chairman), 10% Owner",2025-01-22,Sale,52.46,2600,136396.0,6502643
TEM,"Director, Officer (CEO and Chairman), 10% Owner",2025-01-23,Sale,48,24677,1184496.0,6477966
TEM,"Director, Officer (CEO and Chairman), 10% Owner",2025-01-23,Sale,48.57,61987,3010708.59,6415979
TEM,"Director, Officer (CEO and Chairman), 10% Owner",2025-01-23,Sale,49.29,377,18582.33,6415602
TEM,"Director, Officer (CEO and Chairman), 10% Owner",2025-01-23,Sale,51.83,47110,2441711.3,6368492
TEM,"Director, Officer (CEO and Chairman), 10% Owner",2025-01-23,Sale,52.79,365467,19293002.93,6003025
TEM,"Director, Officer (CEO and Chairman), 10% Owner",2025-01-23,Sale,53.36,145450,7761212.0,5857575
TEM,"Director, Officer (CEO and Chairman), 10% Owner",2025-01-23,Other Acquisition or Disposition (See Footnotes),0,75,0.0,75
TEM,"Director, Officer (CEO and Chairman), 10% Owner",2025-01-24,Sale,53.26,71333,3799195.58,5786242
TEM,"Director, Officer (CEO and Chairman), 10% Owner",2025-01-24,Sale,53.84,11355,611353.2,5774887
TEM,"Director, Officer (CEO and Chairman), 10% Owner",2025-01-24,Sale,54.75,3100,169725.0,5771787
TEM,"Director, Officer (CEO and Chairman), 10% Owner",2024-12-18,Sale,37.36,42193,1576330.48,9565090
TEM,"Director, Officer (CEO and Chairman), 10% Owner",2024-12-18,Sale,38.26,3338,127711.88,9561752
TEM,"Director, Officer (CEO and Chairman), 10% Owner",2024-12-18,Sale,39.32,4469,175721.08,9557283
TEM,"Director, Officer (CEO and Chairman), 10% Owner",2024-12-18,Sale,37.34,116813,4361797.42,26610319
TEM,"Director, Officer (CEO and Chairman), 10% Owner",2024-12-18,Sale,38.33,16176,620026.08,26594143
TEM,"Director, Officer (CEO and Chairman), 10% Owner",2024-12-18,Sale,39.38,4666,183747.08,26589477
TEM,"Director, Officer (CEO and Chairman), 10% Owner",2024-06-17,Conversion of Security,,2133583,,2133583
TEM,"Director, Officer (CEO and Chairman), 10% Owner",2024-06-17,"Grant, Award, or Other Acquisition",0,12409,0.0,2145992
TEM,"Director, Officer (CEO and Chairman), 10% Owner",2024-06-17,Other Acquisition or Disposition (See Footnotes),0,2145992,0.0,0
TEM,"Director, Officer (CEO and Chairman), 10% Owner",2024-06-17,Other Acquisition or Disposition (See Footnotes),0,1534384,0.0,27408669
TEM,"Director, Officer (CEO and Chairman), 10% Owner",2024-06-17,Conversion of Security,,406090,,3884839
TEM,"Director, Officer (CEO and Chairman), 10% Owner",2024-06-17,Conversion of Security,,248512,,248512
TEM,"Director, Officer (CEO and Chairman), 10% Owner",2024-06-17,"Grant, Award, or Other Acquisition",0,45396,0.0,293908
TEM,"Director, Officer (CEO and Chairman), 10% Owner",2024-06-17,Other Acquisition or Disposition (See Footnotes),0,293908,0.0,0
TEM,"Director, Officer (CEO and Chairman), 10% Owner",2024-06-17,Conversion of Security,,321008,,321008
TEM,"Director, Officer (CEO and Chairman), 10% Owner",2024-06-17,"Grant, Award, or Other Acquisition",0,39105,0.0,360113
TEM,"Director, Officer (CEO and Chairman), 10% Owner",2024-06-17,Other Acquisition or Disposition (See Footnotes),0,360113,0.0,0
TEM,"Director, Officer (CEO and Chairman), 10% Owner",2024-06-17,Other Acquisition or Disposition (See Footnotes),0,19792,0.0,27428461
TEM,"Director, Officer (CEO and Chairman), 10% Owner",2024-06-17,Other Acquisition or Disposition (See Footnotes),0,332131,0.0,332131
TEM,"Director, Officer (CEO and Chairman), 10% Owner",2024-06-17,Conversion of Security,,99255,,3984094
TEM,"Director, Officer (CEO and Chairman), 10% Owner",2024-06-17,Conversion of Security,,180329,,27608790
TEM,"Director, Officer (CEO and Chairman), 10% Owner",2024-06-17,"Grant, Award, or Other Acquisition",0,206,0.0,206
TEM,"Director, Officer (CEO and Chairman), 10% Owner",2024-06-17,"Grant, Award, or Other Acquisition",0,10768,0.0,27619558
TEM,"Director, Officer (CEO and Chairman), 10% Owner",2024-06-17,"Grant, Award, or Other Acquisition",0,76453,0.0,4060547
TEM,"Director, Officer (CEO and Chairman), 10% Owner",2024-06-17,Conversion of Security,,1603279,,1603279
TEM,"Director, Officer (CEO and Chairman), 10% Owner",2024-06-17,"Grant, Award, or Other Acquisition",0,996,0.0,1604275
TEM,"Director, Officer (CEO and Chairman), 10% Owner",2024-06-17,Other Acquisition or Disposition (See Footnotes),0,1604275,0.0,0
TEM,"Director, Officer (CEO and Chairman), 10% Owner",2024-06-17,Other Acquisition or Disposition (See Footnotes),0,1397589,0.0,1397589
TEM,"Director, Officer (CEO and Chairman), 10% Owner",2024-06-17,Conversion of Security,,2283991,,2283991
