issuerTradingSymbol,relationship,date,transaction_type,cost,shares,value,shares_total
TEM,Director,2025-03-17,Sale,46.66,1485,69290.1,36220
TEM,Director,2025-03-17,Sale,48.13,1900,91447.0,34320
TEM,Director,2025-03-17,Sale,48.94,760,37194.4,33560
TEM,Director,2025-03-17,Sale,50.05,2789,139589.45,30771
TEM,Director,2025-03-17,Sale,50.63,700,35441.0,30071
TEM,Director,2025-03-04,Sale,48.40,200,9680.0,38314
TEM,Director,2025-03-04,Sale,49.81,120,5977.2,38194
TEM,Director,2025-03-04,Sale,50.93,80,4074.4,38114
TEM,Director,2025-03-04,Sale,52.60,249,13097.4,37865
TEM,Director,2025-03-04,Sale,53.24,160,8518.4,37705
TEM,Director,2024-06-13,"Grant, Award, or Other Acquisition",0,38514,0.0,38514
NUE,,2024-06-01,"Grant, Award, or Other Acquisition",0,1006,0.0,8394
THC,Director,2024-05-09,Sale,126.41,1782,225262.62,29680
THC,,2023-05-26,"Grant, Award, or Other Acquisition",0.00,3682,0.0,31462
NUE,,2023-06-01,"Grant, Award, or Other Acquisition",0,1240,0.0,7388
THC,,2023-05-26,"Grant, Award, or Other Acquisition",0.00,2846,0.0,30626
NUE,,2022-06-01,"Grant, Award, or Other Acquisition",0,1262,0.0,6148
THC,,2022-05-09,"Grant, Award, or Other Acquisition",0.00,3836,0.0,27780
NUE,,2021-06-01,"Grant, Award, or Other Acquisition",0,1354,0.0,4886
THC,,2021-05-07,"Grant, Award, or Other Acquisition",0.00,3960,0.0,23944
NUE,,2020-06-01,"Grant, Award, or Other Acquisition",0,3532,0.0,3532
THC,,2020-05-29,"Grant, Award, or Other Acquisition",0.00,11139,0.0,19984
THC,,2020-03-16,Purchase,15.42,1000,15420.0,8845
THC,,2019-10-31,"Grant, Award, or Other Acquisition",0.00,7845,0.0,7845
