issuerTradingSymbol,relationship,date,transaction_type,cost,shares,value,shares_total
TPL,,2025-02-13,Exercise or Conversion of Derivative Security,,285,,1076
TPL,,2025-02-13,Tax Withholding (RSU Vesting),1353.18,120,162381.6,956
TPL,,2025-02-10,Exercise or Conversion of Derivative Security,,168,,752
TPL,,2025-02-10,Tax Withholding (RSU Vesting),1381.19,76,104970.44,676
TPL,,2025-02-11,Exercise or Conversion of Derivative Security,,198,,874
TPL,,2025-02-11,Tax Withholding (RSU Vesting),1364.12,83,113221.96,791
TPL,,2024-11-12,Sale,1388.14,189,262358.46,605
TPL,,2024-11-12,Sale,1390.08,21,29191.68,584
TPL,,2024-09-01,Exercise or Conversion of Derivative Security,,279,,912
TPL,,2024-09-01,Tax Withholding (RSU Vesting),868.89,118,102529.02,794
TPL,,2024-02-10,Exercise or Conversion of Derivative Security,,56,,205
TPL,,2024-02-10,Tax Withholding (RSU Vesting),1466.11,27,39584.97,178
TPL,,2024-02-11,Exercise or Conversion of Derivative Security,,64,,242
TPL,,2024-02-11,Tax Withholding (RSU Vesting),1466.11,31,45449.41,211
TPL,,2023-12-29,Tax Withholding (RSU Vesting),1572.45,16,25159.2,149
TPL,,2023-09-01,Exercise or Conversion of Derivative Security,,93,,204
TPL,,2023-09-01,Tax Withholding (RSU Vesting),1908.33,39,74424.87,165
TPL,,2023-02-11,Exercise or Conversion of Derivative Security,,64,,141
TPL,,2023-02-11,Tax Withholding (RSU Vesting),1923.78,30,57713.4,111
TPL,,2022-12-29,Tax Withholding (RSU Vesting),2331.36,23,53621.28,77
TARR,,2005-07-11,Exercise or Conversion of Derivative Security,16.32,186,3035.52,186
