issuerTradingSymbol,relationship,date,transaction_type,cost,shares,value,shares_total
TPL,,2025-03-13,Sale,1277.68,60,76660.8,2483
TPL,,2025-03-13,Sale,1269.67,20,25393.4,2463
TPL,,2025-03-13,Sale,1271.21,1070,1360194.7,1393
TPL,,2025-02-13,Exercise or Conversion of Derivative Security,,402,,2721
TPL,,2025-02-13,Tax Withholding (RSU Vesting),1353.18,178,240866.04,2543
TPL,,2025-02-10,Exercise or Conversion of Derivative Security,,273,,1203
TPL,,2025-02-10,Tax Withholding (RSU Vesting),1381.19,125,172648.75,1078
TPL,,2025-02-11,Exercise or Conversion of Derivative Security,,321,,1399
TPL,,2025-02-11,Tax Withholding (RSU Vesting),1364.12,142,193705.04,1257
TPL,,2025-02-11,"Grant, Award, or Other Acquisition",0.0,1908,0.0,3165
TPL,,2025-02-11,Tax Withholding (RSU Vesting),1364.12,846,1154045.52,2319
TPL,,2024-02-10,Exercise or Conversion of Derivative Security,,91,,292
TPL,,2024-02-10,Tax Withholding (RSU Vesting),1466.11,40,58644.4,252
TPL,,2024-02-11,Exercise or Conversion of Derivative Security,,105,,357
TPL,,2024-02-11,Tax Withholding (RSU Vesting),1466.11,47,68907.17,310
TPL,,2023-12-29,Tax Withholding (RSU Vesting),1572.45,67,105354.15,201
TPL,,2023-09-08,Sale,1851.765,100,185176.5,268
TPL,,2023-02-11,Exercise or Conversion of Derivative Security,,105,,413
TPL,,2023-02-11,Tax Withholding (RSU Vesting),1923.78,45,86570.1,368
TPL,,2022-12-29,Tax Withholding (RSU Vesting),2331.36,92,214485.12,308
TPL,,2021-12-29,"Grant, Award, or Other Acquisition",0.0,400,0.0,400
