issuerTradingSymbol,relationship,date,transaction_type,cost,shares,value,shares_total
TPL,,2025-02-25,Sale,1271.41,275.0,349637.75,514.0
TPL,,2025-02-25,Purchase,1273.32,275.0,350163.0,789.0
SAIA,Director,2025-02-11,Sale,496.24,350.0,173684.0,1534.0
TXRH,Director,2025-01-08,Exercise or Conversion of Derivative Security,0.0,1900.0,0.0,5432.0
TPL,,2025-01-02,"Grant, Award, or Other Acquisition",0.0,132.0,0.0,789.0
TXRH,Director,2024-11-11,Sale,195.66,610.0,119352.6,3532.0
SAIA,Director,2024-05-01,"Grant, Award, or Other Acquisition",0.0,301.0,0.0,1884.0
TXRH,Director,2024-03-07,Sale,149.97,670.0,100479.9,4142.0
SAIA,Director,2024-02-09,Sale,565.14,400.0,226056.0,1583.0
TXRH,Director,2024-01-08,Exercise or Conversion of Derivative Security,0.0,2400.0,0.0,4812.0
TPL,,2024-01-01,"Grant, Award, or Other Acquisition",0.0,80.0,0.0,219.0
SAIA,Director,2023-05-09,Sale,280.85,240.0,67404.0,1983.0
SAIA,Director,2023-05-01,"Grant, Award, or Other Acquisition",0.0,379.0,0.0,2223.0
TXRH,Director,2023-02-21,Sale,104.49,288.0,30093.12,2412.0
SAIA,Director,2023-02-07,Sale,294.5701,170.0,50076.92,1844.0
TXRH,Director,2023-01-08,Exercise or Conversion of Derivative Security,0.0,2200.0,0.0,2700.0
TPL,,2023-01-01,"Grant, Award, or Other Acquisition",0.0,54.0,0.0,139.0
SAIA,Director,2022-05-02,"Grant, Award, or Other Acquisition",0.0,396.0,0.0,2014.0
TXRH,,2022-01-10,Exercise or Conversion of Derivative Security,0.0,500.0,0.0,500.0
TPL,,2022-01-11,"Grant, Award, or Other Acquisition",0.0,85.0,0.0,85.0
SAIA,Director,2020-05-01,"Grant, Award, or Other Acquisition",0.0,1098.0,0.0,1618.0
SAIA,Director,2019-11-04,"Grant, Award, or Other Acquisition",0.0,520.0,0.0,520.0
