issuerTradingSymbol,relationship,date,transaction_type,cost,shares,value,shares_total
TPL,,2025-03-21,Purchase,1355.0,2,2710.0,325685
TPL,,2025-03-21,Purchase,1355.0,1,1355.0,5550
TPL,,2025-03-21,Purchase,1355.0,3,4065.0,8040
TPL,,2025-03-21,Purchase,1355.0,2,2710.0,5610
TPL,,2025-03-21,Purchase,1355.0,1,1355.0,129215
TPL,,2025-03-21,Purchase,1312.23,1,1312.23,635194
TPL,,2025-03-20,Purchase,1370.0,2,2740.0,325683
TPL,,2025-03-20,Purchase,1370.0,1,1370.0,5549
TPL,,2025-03-20,Purchase,1370.0,3,4110.0,8037
TPL,,2025-03-20,Purchase,1370.0,2,2740.0,5608
TPL,,2025-03-20,Purchase,1370.0,1,1370.0,129214
TPL,,2025-03-20,Purchase,1374.63,1,1374.63,635193
TPL,,2025-03-19,Purchase,1350.0,2,2700.0,325681
TPL,,2025-03-19,Purchase,1350.0,1,1350.0,5548
TPL,,2025-03-19,Purchase,1350.0,3,4050.0,8034
TPL,,2025-03-19,Purchase,1350.0,2,2700.0,5606
TPL,,2025-03-19,Purchase,1350.0,1,1350.0,129213
TPL,,2025-03-19,Purchase,1373.67,1,1373.67,635192
TPL,,2025-03-18,Purchase,1344.0,2,2688.0,325679
TPL,,2025-03-18,Purchase,1344.0,1,1344.0,5547
TPL,,2025-03-18,Purchase,1344.0,3,4032.0,8031
TPL,,2025-03-18,Purchase,1344.0,2,2688.0,5604
TPL,,2025-03-18,Purchase,1344.0,1,1344.0,129212
TPL,,2025-03-18,Purchase,1337.31,1,1337.31,635191
TPL,,2025-03-17,Purchase,1315.83,2,2631.66,325677
TPL,,2025-03-17,Purchase,1315.83,1,1315.83,5546
TPL,,2025-03-17,Purchase,1315.83,3,3947.49,8028
TPL,,2025-03-17,Purchase,1315.83,2,2631.66,5602
TPL,,2025-03-17,Purchase,1315.83,1,1315.83,129211
TPL,,2025-03-17,Purchase,1330.72,1,1330.72,635190
TPL,,2025-03-14,Purchase,1269.71,2,2539.42,325675
TPL,,2025-03-14,Purchase,1269.71,1,1269.71,5545
TPL,,2025-03-14,Purchase,1269.71,3,3809.13,8025
TPL,,2025-03-14,Purchase,1269.71,2,2539.42,5600
TPL,,2025-03-14,Purchase,1269.71,1,1269.71,129210
TPL,,2025-03-14,Purchase,1305.76,1,1305.76,635189
TPL,,2025-03-13,Purchase,1344.05,2,2688.1,325673
TPL,,2025-03-13,Purchase,1344.05,1,1344.05,5544
TPL,,2025-03-13,Purchase,1344.05,3,4032.15,8022
TPL,,2025-03-13,Purchase,1344.05,2,2688.1,5598
TPL,,2025-03-13,Purchase,1344.05,1,1344.05,129209
TPL,,2025-03-13,Purchase,1304.05,1,1304.05,635188
TPL,,2025-03-12,Purchase,1349.26,2,2698.52,325671
TPL,,2025-03-12,Purchase,1349.26,1,1349.26,5543
TPL,,2025-03-12,Purchase,1349.26,3,4047.78,8019
TPL,,2025-03-12,Purchase,1349.26,2,2698.52,5596
TPL,,2025-03-12,Purchase,1349.26,1,1349.26,129208
TPL,,2025-03-12,Purchase,1337.64,1,1337.64,635187
TPL,,2025-03-11,Purchase,1380.09,2,2760.18,325669
TPL,,2025-03-11,Purchase,1380.09,1,1380.09,5542
TPL,,2025-03-11,Purchase,1380.09,3,4140.27,8016
TPL,,2025-03-11,Purchase,1380.09,2,2760.18,5594
TPL,,2025-03-11,Purchase,1380.09,1,1380.09,129207
TPL,,2025-03-11,Purchase,1342.65,1,1342.65,635186
TPL,,2025-03-10,Purchase,1371.6,2,2743.2,325667
TPL,,2025-03-10,Purchase,1371.59,1,1371.59,5541
TPL,,2025-03-10,Purchase,1371.59,3,4114.77,8013
TPL,,2025-03-10,Purchase,1371.6,2,2743.2,5592
TPL,,2025-03-10,Purchase,1371.6,1,1371.6,129206
TPL,,2025-03-10,Purchase,1339.2,1,1339.2,635185
TPL,,2025-03-07,Purchase,1317.2,2,2634.4,325665
TPL,,2025-03-07,Purchase,1317.2,1,1317.2,5540
TPL,,2025-03-07,Purchase,1317.2,3,3951.6,8010
TPL,,2025-03-07,Purchase,1317.2,2,2634.4,5590
TPL,,2025-03-07,Purchase,1317.21,1,1317.21,129205
TPL,,2025-03-07,Purchase,1347.97,1,1347.97,635184
TPL,,2025-03-06,Purchase,1340.36,2,2680.72,325663
TPL,,2025-03-06,Purchase,1340.36,1,1340.36,5539
TPL,,2025-03-06,Purchase,1340.36,3,4021.08,8007
TPL,,2025-03-06,Purchase,1340.36,2,2680.72,5588
TPL,,2025-03-06,Purchase,1340.36,1,1340.36,129204
TPL,,2025-03-06,Purchase,1328.51,1,1328.51,635183
TPL,,2025-03-05,Purchase,1342.31,2,2684.62,315714
TPL,,2025-03-05,Purchase,1342.31,1,1342.31,5538
TPL,,2025-03-05,Purchase,1342.31,3,4026.93,8004
TPL,,2025-03-05,Purchase,1342.31,2,2684.62,5586
TPL,,2025-03-05,Purchase,1342.31,1,1342.31,129203
TPL,,2025-03-05,Purchase,1342.09,1,1342.09,645129
TPL,,2025-03-04,Purchase,1329.96,2,2659.92,315712
TPL,,2025-03-04,Purchase,1329.96,1,1329.96,5537
TPL,,2025-03-04,Purchase,1329.96,3,3989.88,8001
TPL,,2025-03-04,Purchase,1329.96,2,2659.92,5584
TPL,,2025-03-04,Purchase,1329.96,1,1329.96,129202
TPL,,2025-03-04,Purchase,1337.24,1,1337.24,645128
TPL,,2025-03-03,Purchase,1435.43,2,2870.86,315710
TPL,,2025-03-03,Purchase,1435.43,1,1435.43,5536
TPL,,2025-03-03,Purchase,1435.43,3,4306.29,7998
TPL,,2025-03-03,Purchase,1435.43,2,2870.86,5582
TPL,,2025-03-03,Purchase,1435.43,1,1435.43,129201
TPL,,2025-03-03,Purchase,1409.36,1,1409.36,645127
