issuerTradingSymbol,relationship,date,transaction_type,cost,shares,value,shares_total
RCG,,2025-03-21,Purchase,2.75,356,979.0,67182
RCG,,2025-03-21,Purchase,2.75,12,33.0,1578
RCG,,2025-03-21,Purchase,2.75,180,495.0,91128
RCG,,2025-03-21,Purchase,2.75,180,495.0,276380
RCG,,2025-03-21,Purchase,2.75,274,753.5,292100
RCG,,2025-03-21,Purchase,2.75,18,49.5,7320
RCG,,2025-03-21,Purchase,2.75,254,698.5,37548
TPL,,2025-03-21,Purchase,1355.0,2,2710.0,325685
TPL,,2025-03-21,Purchase,1355.0,1,1355.0,5550
TPL,,2025-03-21,Purchase,1355.0,3,4065.0,8040
TPL,,2025-03-21,Purchase,1355.0,2,2710.0,5610
TPL,,2025-03-21,Purchase,1355.0,1,1355.0,129215
TPL,,2025-03-21,Purchase,1312.23,1,1312.23,635194
TPL,,2025-03-20,Purchase,1370.0,2,2740.0,325683
TPL,,2025-03-20,Purchase,1370.0,1,1370.0,5549
TPL,,2025-03-20,Purchase,1370.0,3,4110.0,8037
TPL,,2025-03-20,Purchase,1370.0,2,2740.0,5608
TPL,,2025-03-20,Purchase,1370.0,1,1370.0,129214
TPL,,2025-03-20,Purchase,1374.63,1,1374.63,635193
RCG,,2025-03-20,Purchase,2.72,356,968.32,66826
RCG,,2025-03-20,Purchase,2.72,12,32.64,1566
RCG,,2025-03-20,Purchase,2.72,180,489.6,90948
RCG,,2025-03-20,Purchase,2.72,180,489.6,276200
RCG,,2025-03-20,Purchase,2.72,274,745.28,291826
RCG,,2025-03-20,Purchase,2.72,18,48.96,7302
RCG,,2025-03-20,Purchase,2.72,254,690.88,37294
TPL,,2025-03-19,Purchase,1350.0,2,2700.0,325681
TPL,,2025-03-19,Purchase,1350.0,1,1350.0,5548
TPL,,2025-03-19,Purchase,1350.0,3,4050.0,8034
TPL,,2025-03-19,Purchase,1350.0,2,2700.0,5606
TPL,,2025-03-19,Purchase,1350.0,1,1350.0,129213
TPL,,2025-03-19,Purchase,1373.67,1,1373.67,635192
RCG,,2025-03-19,Purchase,2.74,356,975.44,66470
RCG,,2025-03-19,Purchase,2.74,12,32.88,1554
RCG,,2025-03-19,Purchase,2.74,180,493.2,90768
RCG,,2025-03-19,Purchase,2.74,180,493.2,276020
RCG,,2025-03-19,Purchase,2.74,276,756.24,291552
RCG,,2025-03-19,Purchase,2.74,18,49.32,7284
RCG,,2025-03-19,Purchase,2.74,254,695.96,37040
TPL,,2025-03-18,Purchase,1344.0,2,2688.0,325679
TPL,,2025-03-18,Purchase,1344.0,1,1344.0,5547
TPL,,2025-03-18,Purchase,1344.0,3,4032.0,8031
TPL,,2025-03-18,Purchase,1344.0,2,2688.0,5604
TPL,,2025-03-18,Purchase,1344.0,1,1344.0,129212
TPL,,2025-03-18,Purchase,1337.31,1,1337.31,635191
RCG,,2025-03-18,Purchase,2.68,356,954.08,66114
RCG,,2025-03-18,Purchase,2.68,12,32.16,1542
RCG,,2025-03-18,Purchase,2.68,180,482.4,90588
RCG,,2025-03-18,Purchase,2.68,180,482.4,275840
RCG,,2025-03-18,Purchase,2.68,276,739.68,291276
RCG,,2025-03-18,Purchase,2.68,18,48.24,7266
RCG,,2025-03-18,Purchase,2.68,254,680.72,36786
RCG,,2025-03-17,Purchase,2.69,356,957.64,65758
RCG,,2025-03-17,Purchase,2.69,12,32.28,1530
RCG,,2025-03-17,Purchase,2.69,180,484.2,90408
RCG,,2025-03-17,Purchase,2.69,180,484.2,275660
RCG,,2025-03-17,Purchase,2.69,274,737.06,291000
RCG,,2025-03-17,Purchase,2.69,18,48.42,7248
RCG,,2025-03-17,Purchase,2.69,254,683.26,36532
TPL,,2025-03-17,Purchase,1315.83,2,2631.66,325677
TPL,,2025-03-17,Purchase,1315.83,1,1315.83,5546
TPL,,2025-03-17,Purchase,1315.83,3,3947.49,8028
TPL,,2025-03-17,Purchase,1315.83,2,2631.66,5602
TPL,,2025-03-17,Purchase,1315.83,1,1315.83,129211
TPL,,2025-03-17,Purchase,1330.72,1,1330.72,635190
TPL,,2025-03-14,Purchase,1269.71,2,2539.42,325675
TPL,,2025-03-14,Purchase,1269.71,1,1269.71,5545
TPL,,2025-03-14,Purchase,1269.71,3,3809.13,8025
TPL,,2025-03-14,Purchase,1269.71,2,2539.42,5600
TPL,,2025-03-14,Purchase,1269.71,1,1269.71,129210
TPL,,2025-03-14,Purchase,1305.76,1,1305.76,635189
RCG,,2025-03-14,Purchase,2.71,356,964.76,65402
RCG,,2025-03-14,Purchase,2.71,12,32.52,1518
RCG,,2025-03-14,Purchase,2.71,180,487.8,90228
RCG,,2025-03-14,Purchase,2.71,180,487.8,275480
RCG,,2025-03-14,Purchase,2.71,274,742.54,290726
RCG,,2025-03-14,Purchase,2.71,18,48.78,7230
RCG,,2025-03-14,Purchase,2.71,254,688.34,36278
TPL,,2025-03-13,Purchase,1344.05,2,2688.1,325673
TPL,,2025-03-13,Purchase,1344.05,1,1344.05,5544
TPL,,2025-03-13,Purchase,1344.05,3,4032.15,8022
