issuerTradingSymbol,relationship,date,transaction_type,cost,shares,value,shares_total
TPL,,2025-03-14,Sale,1310.48,59,77318.32,3657
TPL,,2025-03-14,Sale,1311.64,15,19674.6,3642
TPL,,2025-03-14,Sale,1312.17,9,11809.53,3633
TPL,,2025-03-14,Sale,1313.1,53,69594.3,3580
TPL,,2025-03-14,Sale,1314.65,11,14461.15,3569
TPL,,2025-03-14,Sale,1315.36,10,13153.6,3559
TPL,,2025-03-14,Sale,1316.59,9,11849.31,3550
TPL,,2025-03-14,Sale,1317.73,6,7906.38,3544
TPL,,2025-03-14,Sale,1318.6,24,31646.4,3520
TPL,,2025-03-14,Sale,1319.81,12,15837.72,3508
TPL,,2025-03-14,Sale,1323.68,6,7942.08,3502
TPL,,2025-03-14,Sale,1260.73,3,3782.19,4249
TPL,,2025-03-14,Sale,1263.14,3,3789.42,4246
TPL,,2025-03-14,Sale,1265.72,3,3797.16,4243
TPL,,2025-03-14,Sale,1273.38,6,7640.28,4237
TPL,,2025-03-14,Sale,1274.12,3,3822.36,4234
TPL,,2025-03-14,Sale,1275.77,6,7654.62,4228
TPL,,2025-03-14,Sale,1283.42,3,3850.26,4225
TPL,,2025-03-14,Sale,1284.58,9,11561.22,4216
TPL,,2025-03-14,Sale,1286.24,6,7717.44,4210
TPL,,2025-03-14,Sale,1287.16,6,7722.96,4204
TPL,,2025-03-14,Sale,1288.55,6,7731.3,4198
TPL,,2025-03-14,Sale,1290.42,6,7742.52,4192
TPL,,2025-03-14,Sale,1291.38,6,7748.28,4186
TPL,,2025-03-14,Sale,1292.57,18,23266.26,4168
TPL,,2025-03-14,Sale,1293.32,12,15519.84,4156
TPL,,2025-03-14,Sale,1294.57,18,23302.26,4138
TPL,,2025-03-14,Sale,1295.25,18,23314.5,4120
TPL,,2025-03-14,Sale,1296.39,36,46670.04,4084
TPL,,2025-03-14,Sale,1297.63,12,15571.56,4072
TPL,,2025-03-14,Sale,1298.86,12,15586.32,4060
TPL,,2025-03-14,Sale,1299.48,12,15593.76,4048
TPL,,2025-03-14,Sale,1300.83,9,11707.47,4039
TPL,,2025-03-14,Sale,1301.53,18,23427.54,4021
TPL,,2025-03-14,Sale,1302.5,30,39075.0,3991
TPL,,2025-03-14,Sale,1303.49,18,23462.82,3973
TPL,,2025-03-14,Sale,1304.27,3,3912.81,3970
TPL,,2025-03-14,Sale,1305.79,3,3917.37,3967
TPL,,2025-03-14,Sale,1306.56,9,11759.04,3958
TPL,,2025-03-14,Sale,1308.0,130,170040.0,3828
TPL,,2025-03-14,Sale,1309.75,112,146692.0,3716
TPL,,2025-02-13,Exercise or Conversion of Derivative Security,,690,,4564
TPL,,2025-02-13,Tax Withholding (RSU Vesting),1353.18,312,422192.16,4252
TPL,,2025-02-10,Exercise or Conversion of Derivative Security,,423,,2095
TPL,,2025-02-10,Tax Withholding (RSU Vesting),1381.19,195,269332.05,1900
TPL,,2025-02-11,Exercise or Conversion of Derivative Security,,516,,2416
TPL,,2025-02-11,Tax Withholding (RSU Vesting),1364.12,234,319204.08,2182
TPL,,2025-02-11,"Grant, Award, or Other Acquisition",0.0,3096,0.0,5278
TPL,,2025-02-11,Tax Withholding (RSU Vesting),1364.12,1404,1915224.48,3874
TPL,,2024-11-14,Sale,1340.0,350,469000.0,1672
TPL,,2024-02-10,Exercise or Conversion of Derivative Security,,141,,646
TPL,,2024-02-10,Tax Withholding (RSU Vesting),1466.11,65,95297.15,581
TPL,,2024-02-11,Exercise or Conversion of Derivative Security,,172,,753
TPL,,2024-02-11,Tax Withholding (RSU Vesting),1466.11,79,115822.69,674
TPL,,2023-12-29,Tax Withholding (RSU Vesting),1572.45,129,202846.05,505
TPL,,2023-02-11,Exercise or Conversion of Derivative Security,,172,,709
TPL,,2023-02-11,Tax Withholding (RSU Vesting),1923.78,75,144283.5,634
TPL,,2022-12-29,Tax Withholding (RSU Vesting),2331.36,182,424307.52,537
TPL,,2021-12-29,"Grant, Award, or Other Acquisition",0.0,719,0.0,719
