Title,Published At,URL,Sentiment,Sentiment Score
Go Deh: Incremental combinations without caching,2025-03-23T08:54:16Z,http://paddy3118.blogspot.com/2025/03/incremental-combinations-without-caching.html,Neutral,0.0
Genomic analysis of bovine respiratory disease resistance in preweaned dairy calves diagnosed by a combination of clinical signs and thoracic ultrasonography,2025-03-21T14:00:00Z,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0318520,Neutral,0.0
Annual Report 2024,2025-03-21T09:10:00Z,https://www.globenewswire.com/news-release/2025/03/21/3046906/0/en/Annual-Report-2024.html,Neutral,0.0
"HCC shares surge 15% as JV wins Rs 2,470 crore order from Tata Power",2025-03-21T07:53:43Z,https://economictimes.indiatimes.com/markets/stocks/news/hcc-shares-surge-15-as-jv-wins-rs-2470-crore-order-from-tata-power/articleshow/119292826.cms,Positive,0.7096
"Tata Power awards ₹2,470 crore pumped storage project contract to HCC-TPL",2025-03-20T13:19:20Z,https://www.thehindubusinessline.com/companies/tata-power-awards-2470-crore-pumped-storage-project-contract-to-hcc-tpl/article69353367.ece,Positive,0.4588
"HCC-Tata Projects JV wins Rs 2,470-cr order from Tata Power",2025-03-20T11:47:08Z,https://economictimes.indiatimes.com/industry/indl-goods/svs/construction/hcc-tata-projects-jv-wins-rs-2470-cr-order-from-tata-power/articleshow/119257063.cms,Positive,0.5719
Sports enthusiast advocates inter-house sports revival in Abia schools,2025-03-18T23:39:40Z,https://punchng.com/sports-enthusiast-advocates-inter-house-sports-revival-in-abia-schools/,Positive,0.3612
Regulator orders TPL to clarify 3 critical issues by March 31,2025-03-17T21:00:00Z,https://www.bangkokpost.com/business/general/2982056/regulator-orders-tpl-to-clarify-3-critical-issues-by-march-31,Negative,-0.3182
"HCC-TPL joint venture secures ₹2,191 crore Indore metro contract",2025-03-17T06:54:07Z,https://www.thehindubusinessline.com/markets/stock-markets/hcc-tpl-joint-venture-secures-2191-crore-indore-metro-contract/article69339312.ece,Positive,0.3182
Risks Digest 34.58,2025-03-15T21:12:17Z,https://seclists.org/risks/2025/q1/4,Negative,-0.2732
byted-overpass-ic-aip-story-agent-prompt-tpl 0.0.1,2025-03-15T16:41:43Z,https://pypi.org/project/byted-overpass-ic-aip-story-agent-prompt-tpl/0.0.1/,Neutral,0.0
byted-overpass-ic-aip-story-agent-prompt-tpl added to PyPI,2025-03-15T16:41:43Z,https://pypi.org/project/byted-overpass-ic-aip-story-agent-prompt-tpl/,Neutral,0.0
M&T Bank Corp Boosts Position in Texas Pacific Land Co. (NYSE:TPL),2025-03-12T08:19:05Z,https://www.etfdailynews.com/2025/03/12/mt-bank-corp-boosts-position-in-texas-pacific-land-co-nysetpl/,Positive,0.3182
rh-email-tpl 0.3.5,2025-03-07T13:37:18Z,https://pypi.org/project/rh-email-tpl/0.3.5/,Neutral,0.0
"Liquid Promises, Illiquid Reality: Navigating the New Frontier of ETFs",2025-03-04T00:36:11Z,https://www.mutualfundobserver.com/2025/03/liquid-promises-illiquid-reality-navigating-the-new-frontier-of-etfs/,Positive,0.3818
オフショア投資・保険のマイプロパティが会社紹介の事業概要・各国支店・マイプロパティの沿革・取引金融機関を2025年3月に更新して新規公開したことをご報告します,2025-03-02T08:15:02Z,https://prtimes.jp/main/html/rd/p/000000465.000135621.html,Neutral,0.0
Sigma Planning Corp Sells 15 Shares of Texas Pacific Land Co. (NYSE:TPL),2025-03-01T08:51:01Z,https://www.etfdailynews.com/2025/03/01/sigma-planning-corp-sells-15-shares-of-texas-pacific-land-co-nysetpl/,Positive,0.296
Texas Pacific Land Co. (NYSE:TPL) Shares Acquired by Atria Wealth Solutions Inc.,2025-02-25T11:15:49Z,https://www.etfdailynews.com/2025/02/25/texas-pacific-land-co-nysetpl-shares-acquired-by-atria-wealth-solutions-inc/,Positive,0.7269
