date,stock_ticker,issuerTradingSymbol,price,insider_name,insider_cik,relationship,transaction_type,shares,value,shares_total,xml_link
2025-03-21,TPL,TPL,1355.0,STAHL MURRAY,1207097,,Purchase,2,2710.0,325685,https://www.sec.gov/Archives/edgar/data/1056823/000143774925008880/rdgdoc.xml
2025-03-21,TPL,TPL,1355.0,STAHL MURRAY,1207097,,Purchase,1,1355.0,5550,https://www.sec.gov/Archives/edgar/data/1056823/000143774925008880/rdgdoc.xml
2025-03-21,TPL,TPL,1355.0,STAHL MURRAY,1207097,,Purchase,3,4065.0,8040,https://www.sec.gov/Archives/edgar/data/1056823/000143774925008880/rdgdoc.xml
2025-03-21,TPL,TPL,1355.0,STAHL MURRAY,1207097,,Purchase,2,2710.0,5610,https://www.sec.gov/Archives/edgar/data/1056823/000143774925008880/rdgdoc.xml
2025-03-21,TPL,TPL,1355.0,STAHL MURRAY,1207097,,Purchase,1,1355.0,129215,https://www.sec.gov/Archives/edgar/data/1056823/000143774925008880/rdgdoc.xml
2025-03-21,TPL,TPL,1312.23,STAHL MURRAY,1207097,,Purchase,1,1312.23,635194,https://www.sec.gov/Archives/edgar/data/1056823/000143774925008880/rdgdoc.xml
2025-03-20,TPL,TPL,1370.0,STAHL MURRAY,1207097,,Purchase,2,2740.0,325683,https://www.sec.gov/Archives/edgar/data/1056823/000143774925008689/rdgdoc.xml
2025-03-20,TPL,TPL,1370.0,STAHL MURRAY,1207097,,Purchase,1,1370.0,5549,https://www.sec.gov/Archives/edgar/data/1056823/000143774925008689/rdgdoc.xml
2025-03-20,TPL,TPL,1370.0,STAHL MURRAY,1207097,,Purchase,3,4110.0,8037,https://www.sec.gov/Archives/edgar/data/1056823/000143774925008689/rdgdoc.xml
2025-03-20,TPL,TPL,1370.0,STAHL MURRAY,1207097,,Purchase,2,2740.0,5608,https://www.sec.gov/Archives/edgar/data/1056823/000143774925008689/rdgdoc.xml
2025-03-20,TPL,TPL,1370.0,STAHL MURRAY,1207097,,Purchase,1,1370.0,129214,https://www.sec.gov/Archives/edgar/data/1056823/000143774925008689/rdgdoc.xml
2025-03-20,TPL,TPL,1374.63,STAHL MURRAY,1207097,,Purchase,1,1374.63,635193,https://www.sec.gov/Archives/edgar/data/1056823/000143774925008689/rdgdoc.xml
2025-03-19,TPL,TPL,1350.0,STAHL MURRAY,1207097,,Purchase,2,2700.0,325681,https://www.sec.gov/Archives/edgar/data/1056823/000143774925008532/rdgdoc.xml
2025-03-19,TPL,TPL,1350.0,STAHL MURRAY,1207097,,Purchase,1,1350.0,5548,https://www.sec.gov/Archives/edgar/data/1056823/000143774925008532/rdgdoc.xml
2025-03-19,TPL,TPL,1350.0,STAHL MURRAY,1207097,,Purchase,3,4050.0,8034,https://www.sec.gov/Archives/edgar/data/1056823/000143774925008532/rdgdoc.xml
2025-03-19,TPL,TPL,1350.0,STAHL MURRAY,1207097,,Purchase,2,2700.0,5606,https://www.sec.gov/Archives/edgar/data/1056823/000143774925008532/rdgdoc.xml
2025-03-19,TPL,TPL,1350.0,STAHL MURRAY,1207097,,Purchase,1,1350.0,129213,https://www.sec.gov/Archives/edgar/data/1056823/000143774925008532/rdgdoc.xml
2025-03-19,TPL,TPL,1373.67,STAHL MURRAY,1207097,,Purchase,1,1373.67,635192,https://www.sec.gov/Archives/edgar/data/1056823/000143774925008532/rdgdoc.xml
2025-03-18,TPL,TPL,1344.0,STAHL MURRAY,1207097,,Purchase,2,2688.0,325679,https://www.sec.gov/Archives/edgar/data/1056823/000143774925008346/rdgdoc.xml
2025-03-18,TPL,TPL,1344.0,STAHL MURRAY,1207097,,Purchase,1,1344.0,5547,https://www.sec.gov/Archives/edgar/data/1056823/000143774925008346/rdgdoc.xml
2025-03-18,TPL,TPL,1344.0,STAHL MURRAY,1207097,,Purchase,3,4032.0,8031,https://www.sec.gov/Archives/edgar/data/1056823/000143774925008346/rdgdoc.xml
2025-03-18,TPL,TPL,1344.0,STAHL MURRAY,1207097,,Purchase,2,2688.0,5604,https://www.sec.gov/Archives/edgar/data/1056823/000143774925008346/rdgdoc.xml
2025-03-18,TPL,TPL,1344.0,STAHL MURRAY,1207097,,Purchase,1,1344.0,129212,https://www.sec.gov/Archives/edgar/data/1056823/000143774925008346/rdgdoc.xml
2025-03-18,TPL,TPL,1337.31,STAHL MURRAY,1207097,,Purchase,1,1337.31,635191,https://www.sec.gov/Archives/edgar/data/1056823/000143774925008346/rdgdoc.xml
2025-03-17,TPL,TPL,1315.83,STAHL MURRAY,1207097,,Purchase,2,2631.66,325677,https://www.sec.gov/Archives/edgar/data/1056823/000143774925008160/rdgdoc.xml
2025-03-17,TPL,TPL,1315.83,STAHL MURRAY,1207097,,Purchase,1,1315.83,5546,https://www.sec.gov/Archives/edgar/data/1056823/000143774925008160/rdgdoc.xml
2025-03-17,TPL,TPL,1315.83,STAHL MURRAY,1207097,,Purchase,3,3947.49,8028,https://www.sec.gov/Archives/edgar/data/1056823/000143774925008160/rdgdoc.xml
2025-03-17,TPL,TPL,1315.83,STAHL MURRAY,1207097,,Purchase,2,2631.66,5602,https://www.sec.gov/Archives/edgar/data/1056823/000143774925008160/rdgdoc.xml
2025-03-17,TPL,TPL,1315.83,STAHL MURRAY,1207097,,Purchase,1,1315.83,129211,https://www.sec.gov/Archives/edgar/data/1056823/000143774925008160/rdgdoc.xml
2025-03-17,TPL,TPL,1330.72,STAHL MURRAY,1207097,,Purchase,1,1330.72,635190,https://www.sec.gov/Archives/edgar/data/1056823/000143774925008160/rdgdoc.xml
2025-03-13,TPL,TPL,1277.68,Dobbs Micheal W.,1817664,,Sale,60,76660.8,2483,https://www.sec.gov/Archives/edgar/data/1811074/000110465925024567/tm259231-1_4seq1.xml
2025-03-13,TPL,TPL,1269.67,Dobbs Micheal W.,1817664,,Sale,20,25393.4,2463,https://www.sec.gov/Archives/edgar/data/1811074/000110465925024567/tm259231-1_4seq1.xml
