,date,stock_ticker,issuerTradingSymbol,price,insider_name,insider_cik,relationship,transaction_type,shares,value,shares_total,xml_link
19,2025-02-18,CAT,CAT,354.7,Kaiser Jason,0002005183,Officer (Group President),Sale,2425,860147.5,6275,https://www.sec.gov/Archives/edgar/data/18230/000110465925015034/tm256990-1_4seq1.xml
40,2025-02-04,CAT,CAT,365.57,Johnson Gerald,0001772226,Director,Purchase,100,36557.0,3053,https://www.sec.gov/Archives/edgar/data/18230/000110465925009475/tm255527-1_4seq1.xml
41,2025-01-16,CAT,CAT,380.09,BONFIELD ANDREW R J,0001199292,Officer (Chief Financial Officer),Sale,10000,3800900.0,45182,https://www.sec.gov/Archives/edgar/data/18230/000110465925004336/tm253680-1_4seq1.xml
46,2024-12-04,CAT,CAT,398.57,Johnson Gerald,0001772226,Director,Purchase,100,39857.0,2953,https://www.sec.gov/Archives/edgar/data/18230/000110465924125879/tm2430279-1_4seq1.xml
50,2024-11-29,CAT,CAT,408.59,Fassino Anthony D.,0001839757,Officer (Group President),Sale,6279,2565536.61,33565,https://www.sec.gov/Archives/edgar/data/18230/000110465924124678/tm2429925-1_4seq1.xml
56,2024-11-25,CAT,CAT,404.1,BONFIELD ANDREW R J,0001199292,Officer (Chief Financial Officer),Sale,3504,1415966.4,61678,https://www.sec.gov/Archives/edgar/data/18230/000110465924123149/tm2429621-1_4seq1.xml
57,2024-11-25,CAT,CAT,405.06,BONFIELD ANDREW R J,0001199292,Officer (Chief Financial Officer),Sale,1880,761512.8,59798,https://www.sec.gov/Archives/edgar/data/18230/000110465924123149/tm2429621-1_4seq1.xml
58,2024-11-25,CAT,CAT,406.12,BONFIELD ANDREW R J,0001199292,Officer (Chief Financial Officer),Sale,2481,1007583.72,57317,https://www.sec.gov/Archives/edgar/data/18230/000110465924123149/tm2429621-1_4seq1.xml
59,2024-11-25,CAT,CAT,406.79,BONFIELD ANDREW R J,0001199292,Officer (Chief Financial Officer),Sale,2135,868496.65,55182,https://www.sec.gov/Archives/edgar/data/18230/000110465924123149/tm2429621-1_4seq1.xml
60,2024-11-15,CAT,CAT,383.2,SCHWAB SUSAN C,0001202958,Director,Sale,2,766.4,10846,https://www.sec.gov/Archives/edgar/data/18230/000110465924120169/tm2428774-1_4seq1.xml
